match_id,competition_id,season_id,match_date,split,fold
3857274,43,106,2022-11-25,calibration,
3857275,43,106,2022-11-30,calibration,
3857276,43,106,2022-12-01,calibration,
3857277,43,106,2022-11-23,calibration,
3857278,43,106,2022-11-29,calibration,
3857279,43,106,2022-11-22,calibration,
3857280,43,106,2022-12-02,calibration,
3857281,43,106,2022-11-27,calibration,
3857282,43,106,2022-11-21,calibration,
3857283,43,106,2022-11-27,calibration,
3857284,43,106,2022-11-23,calibration,
3857285,43,106,2022-11-21,calibration,
3857286,43,106,2022-11-20,calibration,
3857287,43,106,2022-11-24,calibration,
3857288,43,106,2022-11-26,calibration,
3857289,43,106,2022-11-26,calibration,
3857290,43,106,2022-11-24,calibration,
3857291,43,106,2022-11-23,calibration,
3857292,43,106,2022-12-01,calibration,
3857293,43,106,2022-12-02,calibration,
3857294,43,106,2022-11-29,calibration,
3857295,43,106,2022-11-27,calibration,
3857296,43,106,2022-12-01,calibration,
3857297,43,106,2022-11-26,calibration,
3857298,43,106,2022-11-24,calibration,
3857299,43,106,2022-11-28,calibration,
3857300,43,106,2022-11-22,calibration,
3857301,43,106,2022-11-25,calibration,
3869117,43,106,2022-12-03,calibration,
3869118,43,106,2022-12-04,calibration,
3869151,43,106,2022-12-03,calibration,
3869152,43,106,2022-12-04,calibration,
3869219,43,106,2022-12-05,calibration,
3869220,43,106,2022-12-06,calibration,
3869253,43,106,2022-12-05,calibration,
3869254,43,106,2022-12-06,calibration,
3869321,43,106,2022-12-09,calibration,
3869354,43,106,2022-12-10,calibration,
3869420,43,106,2022-12-09,calibration,
3869486,43,106,2022-12-10,calibration,
3869519,43,106,2022-12-13,calibration,
3869552,43,106,2022-12-14,calibration,
3869684,43,106,2022-12-17,calibration,
3869685,43,106,2022-12-18,calibration,
3930158,55,282,2024-06-14,holdout,
3930159,55,282,2024-06-15,holdout,
3930160,55,282,2024-06-15,holdout,
3930161,55,282,2024-06-15,holdout,
3930162,55,282,2024-06-16,holdout,
3930163,55,282,2024-06-16,holdout,
3930164,55,282,2024-06-17,holdout,
3930165,55,282,2024-06-17,holdout,
3930166,55,282,2024-06-18,holdout,
3930167,55,282,2024-06-19,holdout,
3930168,55,282,2024-06-19,holdout,
3930169,55,282,2024-06-19,holdout,
3930170,55,282,2024-06-20,holdout,
3930171,55,282,2024-06-20,holdout,
3930172,55,282,2024-06-20,holdout,
3930173,55,282,2024-06-21,holdout,
3930174,55,282,2024-06-22,holdout,
3930175,55,282,2024-06-22,holdout,
3930176,55,282,2024-06-23,holdout,
3930177,55,282,2024-06-23,holdout,
3930178,55,282,2024-06-24,holdout,
3930179,55,282,2024-06-24,holdout,
3930180,55,282,2024-06-25,holdout,
3930181,55,282,2024-06-25,holdout,
3930182,55,282,2024-06-25,holdout,
3930183,55,282,2024-06-26,holdout,
3930184,55,282,2024-06-26,holdout,
3938637,55,282,2024-06-16,holdout,
3938638,55,282,2024-06-17,holdout,
3938639,55,282,2024-06-18,holdout,
3938640,55,282,2024-06-21,holdout,
3938641,55,282,2024-06-21,holdout,
3938642,55,282,2024-06-22,holdout,
3938643,55,282,2024-06-25,holdout,
3938644,55,282,2024-06-26,holdout,
3938645,55,282,2024-06-26,holdout,
3940878,55,282,2024-06-29,holdout,
3940983,55,282,2024-06-29,holdout,
3941017,55,282,2024-06-30,holdout,
3941018,55,282,2024-06-30,holdout,
3941019,55,282,2024-07-01,holdout,
3941020,55,282,2024-07-01,holdout,
3941021,55,282,2024-07-02,holdout,
3941022,55,282,2024-07-02,holdout,
3942226,55,282,2024-07-05,holdout,
3942227,55,282,2024-07-06,holdout,
3942349,55,282,2024-07-05,holdout,
3942382,55,282,2024-07-06,holdout,
3942752,55,282,2024-07-09,holdout,
3942819,55,282,2024-07-10,holdout,
3943043,55,282,2024-07-14,holdout,
